[2026-01-25 17:36:32,233 INFO -Loading CSV -> MySQL | account.csv --> account]
[2026-01-25 17:36:33,037 INFO - Loaded 4500 rows into `account`]
[2026-01-25 17:36:33,037 INFO -Loading CSV -> MySQL | card.csv --> card]
[2026-01-25 17:36:33,455 INFO - Loaded 892 rows into `card`]
[2026-01-25 17:36:33,455 INFO -Loading CSV -> MySQL | client.csv --> client]
[2026-01-25 17:36:34,121 INFO - Loaded 5369 rows into `client`]
[2026-01-25 17:36:34,122 INFO -Loading CSV -> MySQL | disp.csv --> disp]
[2026-01-25 17:36:34,905 INFO - Loaded 5369 rows into `disp`]
[2026-01-25 17:36:34,905 INFO -Loading CSV -> MySQL | district.csv --> district]
[2026-01-25 17:36:35,285 INFO - Loaded 77 rows into `district`]
[2026-01-25 17:36:35,285 INFO -Loading CSV -> MySQL | loan.csv --> loan]
[2026-01-25 17:36:35,726 INFO - Loaded 682 rows into `loan`]
[2026-01-25 17:36:35,726 INFO -Loading CSV -> MySQL | orders.csv --> orders]
[2026-01-25 17:36:36,801 INFO - Loaded 6471 rows into `orders`]
[2026-01-25 17:36:36,801 INFO -Loading CSV -> MySQL | transaction_data.csv --> transaction_data]
[2026-01-25 17:36:38,947 INFO - Loaded 10000 rows into `transaction_data`]
[2026-01-25 17:36:38,947 INFO - All raw CSV files loaded into MySQL successfully]
