[2026-01-25 17:33:43,565 INFO -Loading CSV -> MySQL | account.csv --> account]
[2026-01-25 17:33:44,500 INFO - Loaded 4500 rows into `account`]
[2026-01-25 17:33:44,500 INFO -Loading CSV -> MySQL | card.csv --> card]
[2026-01-25 17:33:44,941 INFO - Loaded 892 rows into `card`]
[2026-01-25 17:33:44,942 INFO -Loading CSV -> MySQL | client.csv --> client]
[2026-01-25 17:33:45,627 INFO - Loaded 5369 rows into `client`]
[2026-01-25 17:33:45,627 INFO -Loading CSV -> MySQL | disp.csv --> disp]
[2026-01-25 17:33:46,361 INFO - Loaded 5369 rows into `disp`]
[2026-01-25 17:33:46,361 INFO -Loading CSV -> MySQL | district.csv --> district]
[2026-01-25 17:33:46,746 INFO - Loaded 77 rows into `district`]
[2026-01-25 17:33:46,747 INFO -Loading CSV -> MySQL | loan.csv --> loan]
[2026-01-25 17:33:47,315 INFO - Loaded 682 rows into `loan`]
[2026-01-25 17:33:47,315 INFO -Loading CSV -> MySQL | orders.csv --> orders]
[2026-01-25 17:33:48,670 INFO - Loaded 6471 rows into `orders`]
[2026-01-25 17:33:48,671 INFO -Loading CSV -> MySQL | transaction_data.csv --> transaction_data]
[2026-01-25 17:33:50,926 INFO - Loaded 10000 rows into `transaction_data`]
[2026-01-25 17:33:50,926 INFO - All raw CSV files loaded into MySQL successfully]
