[2026-01-25 17:07:20,667 INFO -Loading CSV -> MySQL | account.csv --> account]
[2026-01-25 17:07:21,638 INFO - Loaded 4500 rows into `account`]
[2026-01-25 17:07:21,638 INFO -Loading CSV -> MySQL | card.csv --> card]
[2026-01-25 17:07:22,525 INFO - Loaded 892 rows into `card`]
[2026-01-25 17:07:22,525 INFO -Loading CSV -> MySQL | client.csv --> client]
[2026-01-25 17:07:23,279 INFO - Loaded 5369 rows into `client`]
[2026-01-25 17:07:23,279 INFO -Loading CSV -> MySQL | disp.csv --> disp]
[2026-01-25 17:07:24,107 INFO - Loaded 5369 rows into `disp`]
[2026-01-25 17:07:24,107 INFO -Loading CSV -> MySQL | district.csv --> district]
[2026-01-25 17:07:24,481 INFO - Loaded 77 rows into `district`]
[2026-01-25 17:07:24,513 INFO -Loading CSV -> MySQL | loan.csv --> loan]
[2026-01-25 17:07:24,919 INFO - Loaded 682 rows into `loan`]
[2026-01-25 17:07:24,920 INFO -Loading CSV -> MySQL | orders.csv --> orders]
[2026-01-25 17:07:26,084 INFO - Loaded 6471 rows into `orders`]
[2026-01-25 17:07:26,085 INFO -Loading CSV -> MySQL | transaction_data.csv --> trans]
[2026-01-25 17:07:28,579 INFO - Loaded 10000 rows into `trans`]
[2026-01-25 17:07:28,580 INFO - All raw CSV files loaded into MySQL successfully]
