[2026-01-26 01:25:13,315 INFO -Loading CSV -> MySQL | account.csv --> account]
[2026-01-26 01:25:14,782 INFO - Loaded 4500 rows into `account`]
[2026-01-26 01:25:14,783 INFO -Loading CSV -> MySQL | card.csv --> card]
[2026-01-26 01:25:15,349 INFO - Loaded 892 rows into `card`]
[2026-01-26 01:25:15,349 INFO -Loading CSV -> MySQL | client.csv --> client]
[2026-01-26 01:25:16,342 INFO - Loaded 5369 rows into `client`]
[2026-01-26 01:25:16,343 INFO -Loading CSV -> MySQL | disp.csv --> disp]
[2026-01-26 01:25:17,202 INFO - Loaded 5369 rows into `disp`]
[2026-01-26 01:25:17,202 INFO -Loading CSV -> MySQL | district.csv --> district]
[2026-01-26 01:25:17,583 INFO - Loaded 77 rows into `district`]
[2026-01-26 01:25:17,584 INFO -Loading CSV -> MySQL | loan.csv --> loan]
[2026-01-26 01:25:18,028 INFO - Loaded 682 rows into `loan`]
[2026-01-26 01:25:18,028 INFO -Loading CSV -> MySQL | orders.csv --> orders]
[2026-01-26 01:25:19,385 INFO - Loaded 6471 rows into `orders`]
[2026-01-26 01:25:19,386 INFO -Loading CSV -> MySQL | transaction_data.csv --> transaction_data]
[2026-01-26 01:25:21,867 INFO - Loaded 10000 rows into `transaction_data`]
[2026-01-26 01:25:21,868 INFO - All raw CSV files loaded into MySQL successfully]
