[2026-01-25 17:30:44,714 INFO -Loading CSV -> MySQL | account.csv --> account]
[2026-01-25 17:30:45,480 INFO - Loaded 4500 rows into `account`]
[2026-01-25 17:30:45,480 INFO -Loading CSV -> MySQL | card.csv --> card]
[2026-01-25 17:30:45,919 INFO - Loaded 892 rows into `card`]
[2026-01-25 17:30:45,919 INFO -Loading CSV -> MySQL | client.csv --> client]
[2026-01-25 17:30:46,601 INFO - Loaded 5369 rows into `client`]
[2026-01-25 17:30:46,602 INFO -Loading CSV -> MySQL | disp.csv --> disp]
[2026-01-25 17:30:47,355 INFO - Loaded 5369 rows into `disp`]
[2026-01-25 17:30:47,356 INFO -Loading CSV -> MySQL | district.csv --> district]
[2026-01-25 17:30:47,712 INFO - Loaded 77 rows into `district`]
[2026-01-25 17:30:47,713 INFO -Loading CSV -> MySQL | loan.csv --> loan]
[2026-01-25 17:30:48,125 INFO - Loaded 682 rows into `loan`]
[2026-01-25 17:30:48,125 INFO -Loading CSV -> MySQL | orders.csv --> orders]
[2026-01-25 17:30:49,167 INFO - Loaded 6471 rows into `orders`]
[2026-01-25 17:30:49,168 INFO -Loading CSV -> MySQL | transaction_data.csv --> transaction_data]
[2026-01-25 17:30:51,259 INFO - Loaded 10000 rows into `transaction_data`]
[2026-01-25 17:30:51,260 INFO - All raw CSV files loaded into MySQL successfully]
