[2026-01-26 01:42:38,945 INFO -Loading CSV -> MySQL | account.csv --> account]
[2026-01-26 01:42:39,882 INFO - Loaded 4500 rows into `account`]
[2026-01-26 01:42:39,883 INFO -Loading CSV -> MySQL | card.csv --> card]
[2026-01-26 01:42:40,305 INFO - Loaded 892 rows into `card`]
[2026-01-26 01:42:40,306 INFO -Loading CSV -> MySQL | client.csv --> client]
[2026-01-26 01:42:40,971 INFO - Loaded 5369 rows into `client`]
[2026-01-26 01:42:40,971 INFO -Loading CSV -> MySQL | disp.csv --> disp]
[2026-01-26 01:42:41,703 INFO - Loaded 5369 rows into `disp`]
[2026-01-26 01:42:41,703 INFO -Loading CSV -> MySQL | district.csv --> district]
[2026-01-26 01:42:42,032 INFO - Loaded 77 rows into `district`]
[2026-01-26 01:42:42,032 INFO -Loading CSV -> MySQL | loan.csv --> loan]
[2026-01-26 01:42:42,422 INFO - Loaded 682 rows into `loan`]
[2026-01-26 01:42:42,422 INFO -Loading CSV -> MySQL | orders.csv --> orders]
[2026-01-26 01:42:43,506 INFO - Loaded 6471 rows into `orders`]
[2026-01-26 01:42:43,506 INFO -Loading CSV -> MySQL | transaction_data.csv --> transaction_data]
[2026-01-26 01:42:45,683 INFO - Loaded 10000 rows into `transaction_data`]
[2026-01-26 01:42:45,684 INFO - All raw CSV files loaded into MySQL successfully]
