[2026-01-25 16:56:01,382 INFO -Loading CSV -> MySQL | account.csv --> account]
[2026-01-25 16:56:02,970 INFO - Loaded 4500 rows into `account`]
[2026-01-25 16:56:02,971 INFO -Loading CSV -> MySQL | card.csv --> card]
[2026-01-25 16:56:03,500 INFO - Loaded 892 rows into `card`]
[2026-01-25 16:56:03,501 INFO -Loading CSV -> MySQL | client.csv --> client]
[2026-01-25 16:56:04,301 INFO - Loaded 5369 rows into `client`]
[2026-01-25 16:56:04,301 INFO -Loading CSV -> MySQL | disp.csv --> disp]
[2026-01-25 16:56:05,063 INFO - Loaded 5369 rows into `disp`]
[2026-01-25 16:56:05,063 INFO -Loading CSV -> MySQL | district.csv --> district]
[2026-01-25 16:56:05,422 INFO - Loaded 77 rows into `district`]
[2026-01-25 16:56:05,423 INFO -Loading CSV -> MySQL | loan.csv --> loan]
[2026-01-25 16:56:05,869 INFO - Loaded 682 rows into `loan`]
[2026-01-25 16:56:05,869 INFO -Loading CSV -> MySQL | orders.csv --> orders]
[2026-01-25 16:56:06,985 INFO - Loaded 6471 rows into `orders`]
[2026-01-25 16:56:06,986 INFO -Loading CSV -> MySQL | transaction_data.csv --> trans]
[2026-01-25 16:56:09,073 INFO - Loaded 10000 rows into `trans`]
[2026-01-25 16:56:09,073 INFO - All raw CSV files loaded into MySQL successfully]
