[2026-01-25 17:22:20,684 INFO -Loading CSV -> MySQL | account.csv --> account]
[2026-01-25 17:22:21,483 INFO - Loaded 4500 rows into `account`]
[2026-01-25 17:22:21,484 INFO -Loading CSV -> MySQL | card.csv --> card]
[2026-01-25 17:22:21,939 INFO - Loaded 892 rows into `card`]
[2026-01-25 17:22:21,940 INFO -Loading CSV -> MySQL | client.csv --> client]
[2026-01-25 17:22:22,668 INFO - Loaded 5369 rows into `client`]
[2026-01-25 17:22:22,668 INFO -Loading CSV -> MySQL | disp.csv --> disp]
[2026-01-25 17:22:23,441 INFO - Loaded 5369 rows into `disp`]
[2026-01-25 17:22:23,442 INFO -Loading CSV -> MySQL | district.csv --> district]
[2026-01-25 17:22:23,801 INFO - Loaded 77 rows into `district`]
[2026-01-25 17:22:23,801 INFO -Loading CSV -> MySQL | loan.csv --> loan]
[2026-01-25 17:22:24,208 INFO - Loaded 682 rows into `loan`]
[2026-01-25 17:22:24,208 INFO -Loading CSV -> MySQL | orders.csv --> orders]
[2026-01-25 17:22:25,242 INFO - Loaded 6471 rows into `orders`]
[2026-01-25 17:22:25,243 INFO -Loading CSV -> MySQL | transaction_data.csv --> trans]
[2026-01-25 17:22:27,344 INFO - Loaded 10000 rows into `trans`]
[2026-01-25 17:22:27,344 INFO - All raw CSV files loaded into MySQL successfully]
